NOM_ENT ,DISTRITO,VPH_PISODT,VPH_2YMASD,VPH_C_ELEC,VPH_AGUADV,VPH_AEASP,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_C_SERV,VPH_DSADMA,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_S_ELEC,VPH_AGUAFV,VPH_NODREN,VPH_NDEAED,VPH_SNBIEN,VPH_TELEF,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCIN
Guerrero,1,79726,50843,91311,80255,47524,45701,40738,82096,72663,81421,80285,48384,19499,75397,13306,25500,65510,19916,1707,12763,10830,591,3316,25500,1547,12379,19813,68957
Guerrero,2,97277,65186,108286,91817,70762,78965,36252,101545,87946,100558,95032,55051,32867,95490,26387,39500,87126,39773,802,17271,7308,357,2066,39500,4460,8125,13872,64234
Guerrero,3,111694,63860,124023,117520,87326,70696,33554,115521,109721,114789,109558,73202,24123,107424,24120,28254,104644,43476,1517,8020,9523,437,2880,28254,3180,12666,16170,77106
Guerrero,4,103319,67679,108400,101412,90206,79193,29267,106753,100329,106773,101074,68305,32670,99394,38701,45395,98903,59891,392,7378,1556,79,818,45395,6887,5415,5652,44550
Guerrero,5,69342,45717,88442,79984,61437,44620,22188,60527,59733,59400,58450,22506,8063,56633,9640,13878,51977,12065,3532,11988,25968,1237,14065,13878,803,27169,35226,75784
Guerrero,6,72328,44384,96130,83720,51343,48764,19561,65328,63254,64116,56818,18934,9886,65412,9754,12667,61691,15083,3381,15792,26140,786,15544,12667,966,25860,34268,81260
Guerrero,7,85293,59427,98687,89079,70506,76811,42836,95058,86629,95366,84342,49445,31085,87196,32833,32463,83827,47328,915,10522,3358,234,2245,32463,5518,7977,12842,47688
Guerrero,8,84362,45485,95487,85297,66766,41386,39036,77333,70974,76573,74458,33195,12322,74566,10273,20354,67121,14209,2151,12343,18970,844,6641,20354,797,18144,23159,79450
Guerrero,9,100355,67822,110124,102684,87399,61299,21724,102907,97611,102603,98124,61561,25622,98265,26303,34518,94954,46439,476,7914,7390,138,1801,34518,4419,7949,11606,60064
Hidalgo,1,94392,63001,101392,92201,66774,48541,18049,77904,82621,78178,72442,26370,13068,77869,13672,13867,69094,13440,1453,10644,13260,336,7429,13867,943,15498,29228,83175
Hidalgo,2,106613,75340,109208,105377,55458,87629,21649,95509,98242,98064,89328,59305,28347,92841,22001,15690,89926,26847,1475,5306,8609,468,2725,15690,2836,9428,17276,76189
Hidalgo,3,110614,78378,112013,109121,86883,92256,24097,104173,104372,105100,91432,67803,28697,99113,27597,20844,95005,35570,1365,4256,5947,425,2117,20844,4606,7338,14785,70179
Hidalgo,4,106595,73194,109886,105132,82290,88947,28002,98614,99644,99123,84812,62102,32249,97823,25928,28463,92440,38510,1280,6032,6900,326,3497,28463,5821,7465,15202,67230
Hidalgo,5,129101,94619,129742,128113,99432,103817,25336,123751,122999,123534,111611,84512,45163,120337,38960,30794,113938,49559,1171,2800,5841,321,1479,30794,8688,5337,13718,71523
Hidalgo,6,150608,115702,151828,149656,143346,117599,44713,151140,149178,151201,138109,115437,83211,145077,74294,56238,143828,94208,335,2507,565,51,407,56238,23937,3206,5006,48414
Hidalgo,7,132465,100214,133137,131917,123122,113955,31207,130807,130462,131309,120524,98579,66531,126396,58641,44741,123657,74186,551,1770,1681,143,608,44741,17644,3419,6790,50666
Jalisco,1,102006,73657,103467,102924,88965,86204,29984,101110,99601,100712,95481,82106,46073,95498,32840,30869,92402,45342,2466,3010,4863,1050,2181,30869,8463,6432,8440,53078
Jalisco,10,120325,97918,122284,122178,116350,102784,99205,122132,121867,121940,119710,108841,90809,118577,84165,81024,117608,99703,74,175,82,5,138,81024,33441,1821,2314,19111
Jalisco,11,94144,77517,94643,94635,94482,85932,35399,94621,94570,94593,92458,81901,61302,92257,48804,54595,87332,68905,42,50,40,5,125,54595,17915,1182,2739,21740
Jalisco,12,209933,158227,211216,210685,185270,119017,37923,211131,210210,210940,199021,164650,114956,201897,88194,66236,201976,130813,245,769,330,14,595,66236,40494,4336,7152,69090
Jalisco,13,116886,92766,118428,118269,112845,86080,59008,118312,118026,118172,115799,104323,81506,114974,71443,67798,112942,91110,66,212,89,9,125,67798,29251,1541,2463,22712
Jalisco,14,95961,77622,96524,96519,96288,80875,40705,96473,96427,96438,94433,84175,64905,94154,52722,58409,89479,71453,57,59,37,4,104,58409,18812,1109,2281,21174
Jalisco,15,109338,79220,110619,109910,97363,93146,37791,109732,108907,109436,104714,89875,53717,104948,33571,34630,97689,52315,299,1008,1030,58,523,34630,9812,3046,7363,52507
Jalisco,16,106942,84506,109613,109242,107358,81780,40731,109428,108936,109310,105072,91002,61778,106155,48542,47511,101984,69213,137,508,276,9,246,47511,18815,1663,4617,35194
Jalisco,17,100481,69801,101891,101580,95606,72499,23334,101159,100565,100943,95682,80951,49053,97051,32662,29832,92039,50241,385,695,997,58,514,29832,7680,2644,5867,46358
Jalisco,18,103386,72944,105852,105529,93726,84925,26422,104304,103209,104109,99113,85209,47452,96333,32526,38133,90813,46535,1009,1330,2249,141,1436,38133,6345,6263,9618,53623
Jalisco,19,104027,78816,106362,106352,97964,90655,28168,105907,105059,105720,100273,88073,50709,99976,36929,42482,93522,54653,730,739,1052,91,602,42482,8580,3584,7100,46536
Jalisco,2,96971,71427,97488,96454,81980,81383,33006,95634,94804,95419,92208,83352,53253,93356,31797,30376,88001,45278,406,1440,2022,121,329,30376,9293,2231,5745,46453
Jalisco,20,135741,99801,138360,136129,115667,102317,59985,137625,135393,137365,129935,110391,65685,132216,45546,38425,129651,68513,335,2567,920,75,476,38425,19330,2959,6247,61208
Jalisco,3,119120,89566,119563,118934,103299,113724,43458,118645,117823,118386,115241,108402,69583,115135,40211,35385,108688,63895,422,1050,1305,114,338,35385,13442,2588,5800,50161
Jalisco,4,99618,79119,101200,101015,98661,87967,62291,101103,100624,100791,98507,88269,64942,97843,54663,58244,95200,73876,92,276,179,4,135,58244,21932,1545,2938,23417
Jalisco,5,111687,74045,113036,112127,102308,67254,20220,112334,110827,112125,106473,87390,51125,101837,46384,45167,105098,68024,675,1584,1308,127,844,45167,12317,6393,5603,39754
Jalisco,6,146540,120746,147936,147599,132599,101363,75019,147892,147386,147765,144253,129887,100760,142933,88032,81747,142398,110979,106,440,137,12,134,81747,38354,2305,2746,30321
Jalisco,7,99656,80889,101526,101265,99988,77315,45187,101410,100999,101226,97786,85371,56775,98250,43412,43669,95707,67094,94,353,205,18,212,43669,18985,1561,3364,29708
Jalisco,8,111018,86600,111524,111498,109940,104059,70249,111482,111460,111464,109815,98633,82938,107344,76346,74705,104765,92001,29,45,10,2,114,74705,24384,1895,1922,15937
Jalisco,9,93008,74276,93773,93767,93657,78274,35553,93750,93692,93749,91406,80659,58357,91154,46188,50726,87135,67530,59,65,34,4,135,50726,18033,1301,2629,22357
México,1,108612,72127,109469,104744,61996,89516,26003,89788,90549,90919,80972,51036,26278,99816,18052,12667,90015,24517,2385,7111,17612,895,2996,12667,2314,7344,19353,80960
México,10,98931,75751,100309,96850,84116,87706,46886,99880,96224,99362,93307,81897,60275,97032,47015,57776,90829,64676,61,3478,289,0,262,57776,16669,1616,4177,30201
México,11,100472,70695,102008,100295,86392,86738,51305,101684,99879,101492,93590,81212,56538,97616,45180,61659,91614,64335,95,1803,142,7,379,61659,13507,2279,4874,32634
México,12,104623,77591,107656,106542,87993,75658,29699,106231,105801,106587,96634,84609,59391,102798,46658,57213,99144,67359,139,1242,598,7,337,57213,16193,2258,4418,35172
México,13,91504,69618,92222,91968,89979,86019,65354,92068,91698,91873,86426,76387,55317,89405,44788,61629,83177,63882,48,259,38,4,228,61629,14068,1418,3159,24231
México,14,111095,83510,111913,111783,109495,103059,62392,111803,111520,111624,107023,98087,80457,109013,69237,78828,104267,85664,43,150,63,1,152,78828,23548,1459,2896,21763
México,15,111396,80468,112262,112236,111412,98717,59512,112147,112054,112039,106004,96108,77561,109136,63590,74555,103797,81737,40,58,42,0,310,74555,23013,1714,3939,26255
México,16,104428,60119,105804,104811,98102,91689,29520,105371,104430,105157,94106,78258,51960,101102,38582,53830,92895,60120,130,1112,414,7,425,53830,9906,2541,7095,40570
México,17,91583,63644,92233,91757,83556,84820,62994,92194,91607,92114,84645,73522,51703,89023,42191,56669,82156,62615,45,521,22,2,246,56669,13327,1612,4240,25564
México,18,123653,87634,125519,123756,97723,101538,48836,122853,122068,123096,106611,94071,70759,119880,60537,62447,113710,74639,286,2046,1716,40,806,62447,21541,3148,8760,45091
México,19,107343,80084,107813,107713,107220,88219,31274,107682,107558,107579,103568,93737,76776,104985,63994,74684,98373,80527,31,77,29,1,222,74684,20607,1503,3419,22708
México,2,117466,91631,118650,118153,110272,71746,32221,118271,117869,118316,109355,96994,67266,114095,54602,66056,108586,75325,106,591,199,9,328,66056,19509,2232,5016,36606
México,20,100103,67469,100584,100408,98890,93595,87643,100537,100293,100482,92642,81733,58501,97230,51084,63725,91010,71916,46,222,22,2,294,63725,16335,1712,4015,24578
México,21,95060,66018,99784,96067,85641,83467,29406,95777,94424,95857,79715,67723,40687,93010,31203,38207,87400,44282,457,4168,1877,85,969,38207,8541,3683,9914,50847
México,22,124594,87543,125853,124981,117040,114994,47383,125448,124543,125291,117117,106075,86200,122122,73294,84786,116283,89922,116,984,294,13,313,84786,23500,1965,4531,31131
México,23,105894,78348,108486,107041,91249,83266,29558,104605,104880,104851,81532,72175,39182,100996,37262,33776,93475,51456,445,1889,2390,79,1242,33776,9120,3865,12173,51895
México,24,112289,65444,112760,112743,112396,98490,27140,112683,112615,112660,101445,86699,63818,107859,49623,63152,101547,69795,64,82,44,1,357,63152,13799,2764,5664,37447
México,25,95766,53094,98393,97981,95167,79057,71464,97801,97495,97762,81095,67097,37020,93113,27742,48209,84869,53927,127,538,294,13,562,48209,7373,2661,7852,40628
México,26,118748,90405,120632,117549,90878,93280,30363,116988,115370,117423,96108,75841,50394,113890,45685,41244,107108,59977,496,3579,2531,88,998,41244,12802,3902,11103,55386
